H,I,S,D,M,date,country
1,1,3,27,367,2021-05-12,Afghanistan
0,0,2,7,94,2021-05-12,Sweden
6,1,5,146,1086,2021-05-12,Japan
1,1,1,27,369,2021-05-13,Afghanistan
0,0,2,7,94,2021-05-13,Sweden
6,0,4,146,1088,2021-05-13,Japan
1,0,1,27,370,2021-05-14,Afghanistan
0,0,1,7,95,2021-05-14,Sweden
6,0,3,146,1089,2021-05-14,Japan
1,0,1,27,370,2021-05-15,Afghanistan
0,0,1,7,95,2021-05-15,Sweden
5,1,3,146,1089,2021-05-15,Japan
1,0,0,27,371,2021-05-16,Afghanistan
0,0,1,7,95,2021-05-16,Sweden
3,3,2,146,1090,2021-05-16,Japan
1,0,0,27,371,2021-05-17,Afghanistan
0,0,1,7,95,2021-05-17,Sweden
2,4,1,146,1091,2021-05-17,Japan
1,0,0,27,371,2021-05-18,Afghanistan
0,0,0,7,96,2021-05-18,Sweden
2,4,1,146,1091,2021-05-18,Japan
1,0,0,27,371,2021-05-19,Afghanistan
0,0,0,7,96,2021-05-19,Sweden
2,3,1,146,1092,2021-05-19,Japan
1,0,0,27,371,2021-05-20,Afghanistan
0,0,0,7,96,2021-05-20,Sweden
1,2,1,146,1094,2021-05-20,Japan
1,0,0,27,371,2021-05-21,Afghanistan
0,0,0,7,96,2021-05-21,Sweden
1,1,2,146,1094,2021-05-21,Japan
1,0,0,27,371,2021-05-22,Afghanistan
0,0,0,7,96,2021-05-22,Sweden
1,1,2,146,1094,2021-05-22,Japan
1,0,0,27,371,2021-05-23,Afghanistan
0,0,0,7,96,2021-05-23,Sweden
1,1,2,146,1094,2021-05-23,Japan
1,0,0,27,371,2021-05-24,Afghanistan
0,0,0,7,96,2021-05-24,Sweden
1,0,2,146,1095,2021-05-24,Japan
1,0,0,27,371,2021-05-25,Afghanistan
0,0,0,7,96,2021-05-25,Sweden
1,0,2,146,1095,2021-05-25,Japan
0,1,0,27,371,2021-05-26,Afghanistan
0,0,0,7,96,2021-05-26,Sweden
1,0,2,146,1095,2021-05-26,Japan
0,1,0,27,371,2021-05-27,Afghanistan
0,0,0,7,96,2021-05-27,Sweden
1,0,1,146,1096,2021-05-27,Japan
0,1,0,27,371,2021-05-28,Afghanistan
0,0,0,7,96,2021-05-28,Sweden
1,0,1,146,1096,2021-05-28,Japan
0,1,0,27,371,2021-05-29,Afghanistan
0,0,0,7,96,2021-05-29,Sweden
1,0,1,146,1096,2021-05-29,Japan
0,0,1,27,371,2021-05-30,Afghanistan
0,0,0,7,96,2021-05-30,Sweden
1,0,1,146,1096,2021-05-30,Japan
0,0,1,27,371,2021-05-31,Afghanistan
0,0,0,7,96,2021-05-31,Sweden
1,0,1,146,1096,2021-05-31,Japan
0,0,1,27,371,2021-06-01,Afghanistan
0,0,0,7,96,2021-06-01,Sweden
1,0,1,146,1096,2021-06-01,Japan
0,0,1,27,371,2021-06-02,Afghanistan
0,0,0,7,96,2021-06-02,Sweden
1,0,1,146,1096,2021-06-02,Japan
0,0,1,27,371,2021-06-03,Afghanistan
0,0,0,7,96,2021-06-03,Sweden
1,0,1,146,1096,2021-06-03,Japan
0,0,1,27,371,2021-06-04,Afghanistan
0,0,0,7,96,2021-06-04,Sweden
1,0,0,146,1097,2021-06-04,Japan
0,0,1,27,371,2021-06-05,Afghanistan
0,0,0,7,96,2021-06-05,Sweden
1,0,0,146,1097,2021-06-05,Japan
0,0,1,27,371,2021-06-06,Afghanistan
